time,logger,level,message,exception
2012-09-08 17:28:00.0793,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3220176896
  PollingInterval     = 00:02:00",
2012-09-08 17:28:00.1153,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-09-08 17:28:02.9905,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-09-08 17:28:03.0645,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-09-08 17:28:03.0645,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-09-08 17:29:17.2417,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-09-08 17:29:17.2417,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -    21 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-09-08 17:29:17.2787,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'RavenTaskQueues/1' was not found,
2012-09-08 17:29:17.2787,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -     0 ms - <default>  - 404 - /docs/RavenTaskQueues/1,
2012-09-08 17:29:17.5777,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'RavenTaskQueues/1', update: False, ",
2012-09-08 17:29:17.5777,Raven.Database.DocumentDatabase,Debug,Put document RavenTaskQueues/1 with etag 00000000-0000-0100-0000-000000000001,
2012-09-08 17:29:17.5777,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: PUT RavenTaskQueues/1,
2012-09-08 17:29:17.5777,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0795700,
2012-09-08 17:29:17.5777,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2012-09-08 17:29:17.5917,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2012-09-08 17:29:17.8197,Raven.Database.Server.HttpServer,Debug,Request #   3: POST    -   402 ms - <default>  - 200 - /bulk_docs,
2012-09-08 17:29:17.8197,Raven.Database.Server.HttpServer,Debug,"	PUT RavenTaskQueues/1
",
2012-09-08 17:29:17.8807,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'RavenTaskQueues/2' was not found,
2012-09-08 17:29:17.8807,Raven.Database.Server.HttpServer,Debug,Request #   4: GET     -     0 ms - <default>  - 404 - /docs/RavenTaskQueues/2,
2012-09-08 17:29:17.8807,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'RavenTaskQueues/2', update: False, ",
2012-09-08 17:29:17.8807,Raven.Database.DocumentDatabase,Debug,Put document RavenTaskQueues/2 with etag 00000000-0000-0100-0000-000000000002,
2012-09-08 17:29:17.8807,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 2 because: PUT RavenTaskQueues/2,
2012-09-08 17:29:17.8807,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0010049,
2012-09-08 17:29:17.8807,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2012-09-08 17:29:17.8807,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work",
2012-09-08 17:29:17.8807,Raven.Database.Server.HttpServer,Debug,Request #   5: POST    -     1 ms - <default>  - 200 - /bulk_docs,
2012-09-08 17:29:17.8807,Raven.Database.Server.HttpServer,Debug,"	PUT RavenTaskQueues/2
",
2012-09-08 17:29:17.8807,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'RavenTaskQueues/3' was not found,
2012-09-08 17:29:17.8807,Raven.Database.Server.HttpServer,Debug,Request #   6: GET     -     0 ms - <default>  - 404 - /docs/RavenTaskQueues/3,
2012-09-08 17:29:17.8887,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'RavenTaskQueues/3', update: False, ",
